 warn --- config file  - /var/lib/jenkins/workspace/generic-build-product/sources/modules/npm-ancillary-module/npmancillary/resources/npm/verdaccio/config_offline.yaml
 warn --- Verdaccio started
 warn --- http address - http://localhost:4873/ - verdaccio/4.12.0
 http <-- 200, user: null(127.0.0.1), req: 'GET /pnpm', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'POST /-/npm/v1/security/advisories/bulk', bytes: 51/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /pnpm/-/pnpm-5.17.3.tgz', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'POST /-/npm/v1/security/audits/quick', bytes: 293/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /@angular%2Fanimations', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /@angular%2Fcdk', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /@angular%2Fcommon', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /@angular%2Fcompiler', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /@angular%2Fcore', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /@angular%2Felements', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /@angular%2Fforms', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /@angular%2Fplatform-browser', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /@angular%2Fplatform-browser-dynamic', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /@angular%2Frouter', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /@angular%2Fupgrade', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /@compodoc%2Fcompodoc', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /@fundamental-ngx%2Fcore', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /@nestjs%2Fcli', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /@nestjs%2Fcommon', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /@nestjs%2Fcore', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /@nestjs%2Fplatform-express', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /@compodoc%2fcompodoc/-/compodoc-1.1.11.tgz', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /@angular%2fcdk/-/cdk-8.2.3.tgz', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /@nestjs%2fcli/-/cli-7.6.0.tgz', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /@nestjs%2fcommon/-/common-7.6.15.tgz', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /@angular%2fcommon/-/common-8.2.14.tgz', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /@angular%2fanimations/-/animations-8.2.14.tgz', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /@nestjs%2fcore/-/core-7.6.15.tgz', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /@angular%2fcore/-/core-8.2.14.tgz', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /@angular%2fcompiler/-/compiler-8.2.14.tgz', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /@angular%2felements/-/elements-8.2.14.tgz', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /@angular%2fforms/-/forms-8.2.14.tgz', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /@angular%2fplatform-browser/-/platform-browser-8.2.14.tgz', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /@angular%2fupgrade/-/upgrade-8.2.14.tgz', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /@angular%2frouter/-/router-8.2.14.tgz', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /@nestjs%2Fschematics', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /@angular%2fplatform-browser-dynamic/-/platform-browser-dynamic-8.2.14.tgz', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /@nestjs%2fschematics/-/schematics-7.3.1.tgz', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /@fundamental-ngx%2fcore/-/core-0.13.2.tgz', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /@nestjs%2Ftesting', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /@ngx-translate%2Fcore', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /@ngx-translate%2Fhttp-loader', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /@nestjs%2ftesting/-/testing-7.6.15.tgz', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /@ngx-translate%2fcore/-/core-11.0.1.tgz', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /@ngx-translate%2fhttp-loader/-/http-loader-4.0.0.tgz', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /@sap-theming%2Ftheming-base-content', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /@types%2Fangular', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /@types%2Fangular-animate', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /@sap-theming%2ftheming-base-content/-/theming-base-content-11.1.19.tgz', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /@types%2Fangular-cookies', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /@types%2fangular/-/angular-1.7.3.tgz', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /@types%2fangular-animate/-/angular-animate-1.5.10.tgz', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /@types%2Fangular-mocks', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /@types%2fangular-cookies/-/angular-cookies-1.8.0.tgz', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /@types%2fangular-mocks/-/angular-mocks-1.7.0.tgz', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /@types%2Fangular-route', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /@types%2Fangular-sanitize', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /@types%2Fangular-translate', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /@types%2fangular-route/-/angular-route-1.7.1.tgz', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /@types%2Fangular-ui-bootstrap', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /@types%2Fckeditor', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /@types%2fangular-sanitize/-/angular-sanitize-1.7.0.tgz', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /@types%2fangular-translate/-/angular-translate-2.16.2.tgz', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /@types%2Fconnect', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /@types%2Fcrypto-js', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /@types%2fangular-ui-bootstrap/-/angular-ui-bootstrap-0.13.47.tgz', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /@types%2fckeditor/-/ckeditor-4.9.10.tgz', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /@types%2fconnect/-/connect-3.4.33.tgz', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /@types%2Feonasdan-bootstrap-datetimepicker', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /@types%2Ffetch-mock', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /@types%2feonasdan-bootstrap-datetimepicker/-/eonasdan-bootstrap-datetimepicker-4.17.26.tgz', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /@types%2Fjquery', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /@types%2Flodash', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /@types%2ffetch-mock/-/fetch-mock-7.3.2.tgz', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /@types%2fjquery/-/jquery-3.3.38.tgz', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /@types%2Fnode', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /@types%2flodash/-/lodash-4.14.159.tgz', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /@types%2Fscriptjs', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /@types%2Fserve-index', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /@types%2fscriptjs/-/scriptjs-0.0.2.tgz', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /@types%2fnode/-/node-14.11.2.tgz', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /@types%2fserve-index/-/serve-index-1.7.29.tgz', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /@types%2Fsupertest', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /@types%2Fswagger-tools', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /@types%2Fwebpack-env', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /@types%2fsupertest/-/supertest-2.0.8.tgz', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /@types%2fswagger-tools/-/swagger-tools-0.10.6.tgz', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /@types%2fwebpack-env/-/webpack-env-1.15.2.tgz', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /@typescript-eslint%2Feslint-plugin', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /@typescript-eslint%2Feslint-plugin-tslint', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /@typescript-eslint%2Fparser', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /@webcomponents%2Fwebcomponentsjs', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /angular', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /@webcomponents%2fwebcomponentsjs/-/webcomponentsjs-2.4.3.tgz', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /@typescript-eslint%2feslint-plugin/-/eslint-plugin-4.1.1.tgz', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /angular/-/angular-1.8.0.tgz', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /@typescript-eslint%2fparser/-/parser-4.1.1.tgz', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /angular-animate', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /angular-cookies', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /angular-animate/-/angular-animate-1.8.0.tgz', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /angular-mocks', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /angular-cookies/-/angular-cookies-1.8.0.tgz', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /angular-mocks/-/angular-mocks-1.8.0.tgz', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /angular-route', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /angular-sanitize', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /angular-translate', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /angular-route/-/angular-route-1.8.0.tgz', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /angular-sanitize/-/angular-sanitize-1.8.0.tgz', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /angular-translate/-/angular-translate-2.18.3.tgz', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /angular-ui-bootstrap', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /angular-ui-tree', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /angular-ui-bootstrap/-/angular-ui-bootstrap-2.5.6.tgz', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /angular-ui-tree/-/angular-ui-tree-2.22.6.tgz', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /autoprefixer', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /awesome-typescript-loader', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /autoprefixer/-/autoprefixer-9.7.4.tgz', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /awesome-typescript-loader/-/awesome-typescript-loader-5.2.1.tgz', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /bootstrap', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /cache-loader', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /chakram', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /chalk', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /bootstrap/-/bootstrap-3.4.1.tgz', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /cache-loader/-/cache-loader-4.1.0.tgz', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /chakram/-/chakram-1.5.0.tgz', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /chalk/-/chalk-4.1.0.tgz', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /child_process', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /ckeditor4', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /child_process/-/child_process-1.0.2.tgz', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /clean-css', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /clean-npm-tmp', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /colors', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /clean-css/-/clean-css-4.2.3.tgz', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /clean-npm-tmp/-/clean-npm-tmp-1.1.2.tgz', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /colors/-/colors-1.4.0.tgz', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /concurrently', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /connect', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /cors', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /concurrently/-/concurrently-5.1.0.tgz', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /crypto-js', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /connect/-/connect-3.7.0.tgz', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /cors/-/cors-2.8.5.tgz', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /css-loader', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /crypto-js/-/crypto-js-4.0.0.tgz', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /deep-diff', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /eonasdan-bootstrap-datetimepicker', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /css-loader/-/css-loader-3.5.3.tgz', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /eslint', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /deep-diff/-/deep-diff-1.0.2.tgz', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /eonasdan-bootstrap-datetimepicker/-/eonasdan-bootstrap-datetimepicker-4.17.47.tgz', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /eslint-config-prettier', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /eslint/-/eslint-7.9.0.tgz', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /eslint-plugin-ban', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /eslint-config-prettier/-/eslint-config-prettier-6.11.0.tgz', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /eslint-plugin-ban/-/eslint-plugin-ban-1.5.1.tgz', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /eslint-plugin-deprecation', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /eslint-plugin-import', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /eslint-plugin-jsdoc', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /eslint-plugin-deprecation/-/eslint-plugin-deprecation-1.1.0.tgz', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /eslint-plugin-import/-/eslint-plugin-import-2.22.0.tgz', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /eslint-plugin-prefer-arrow', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /eslint-plugin-prettier', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /extract-loader', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /eslint-plugin-prefer-arrow/-/eslint-plugin-prefer-arrow-1.2.2.tgz', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /fast-glob', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /eslint-plugin-prettier/-/eslint-plugin-prettier-3.1.4.tgz', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /extract-loader/-/extract-loader-5.1.0.tgz', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /fetch-mock', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /fast-glob/-/fast-glob-3.2.2.tgz', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /file-loader', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /fiori-fundamentals', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /fetch-mock/-/fetch-mock-9.2.1.tgz', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /font-awesome', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /fork-ts-checker-webpack-plugin', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /fs-extra', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /file-loader/-/file-loader-6.0.0.tgz', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /fundamental-styles', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /fiori-fundamentals/-/fiori-fundamentals-1.5.10.tgz', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /font-awesome/-/font-awesome-4.7.0.tgz', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /fork-ts-checker-webpack-plugin/-/fork-ts-checker-webpack-plugin-4.1.0.tgz', bytes: 0/0
